fold,train_start,train_end,validation_start,validation_end,test_start,test_end,selected_strategy,selected_edge_threshold,selected_max_signs,selected_max_rows,selected_min_edge_sum,train_avg_rows,train_roi,train_profit_kr,train_wins,train_max_drawdown,validation_avg_rows,validation_roi,validation_profit_kr,validation_wins,validation_max_drawdown,test_avg_rows,test_roi,test_profit_kr,test_wins,test_max_drawdown,test_positive
1,1112,2165,2166,2469,2470,2571,V7_edge1pct_max2signs_maxrows50,0.01,2,50,,12.6,1.346777,16964.0,3,368,14.1,-0.978548,-4151.0,2,189,14.4,-1.0,-1441.0,0,100,False
2,1218,2265,2266,2571,2572,2674,V7_edge0pct_max3signs_maxrows20,0.0,3,20,,15.4,-0.747819,-11485.0,5,285,15.1,-0.533348,-2415.0,1,229,15.7,-1.0,-1568.0,0,100,False
3,1333,2368,2369,2674,2675,2778,V7_edge0pct_max3signs_maxrows20,0.0,3,20,,15.3,-0.746896,-11429.0,5,285,15.5,-0.544219,-2523.0,1,170,15.4,-1.0,-1540.0,0,100,False
4,1442,2469,2470,2778,2779,2881,V7_edge0pct_max3signs_maxrows20,0.0,3,20,,15.3,-0.949092,-14523.0,4,285,15.5,-0.546955,-2551.0,1,270,15.3,-1.0,-1534.0,0,100,False
5,1548,2571,2572,2881,2882,2981,V7_edge1pct_max2signs_maxrows50,0.01,2,50,,14.1,0.88174,12444.0,4,441,14.4,-1.0,-4316.0,0,300,13.6,-1.0,-1363.0,0,100,False
6,1654,2674,2675,2981,2982,3082,V7_edge1pct_max2signs_maxrows50,0.01,2,50,,14.1,0.884277,12463.0,4,441,14.6,-1.0,-4390.0,0,300,13.9,-1.0,-1392.0,0,100,False
7,1756,2778,2779,3082,3083,3186,V7_edge1pct_max2signs_maxrows50,0.01,2,50,,14.4,0.843857,12122.0,3,441,14.1,-1.0,-4224.0,0,300,11.3,-1.0,-1131.0,0,100,False
8,1862,2881,2882,3186,3187,3287,V7_edge0pct_max2signs_maxrows100,0.0,2,100,,49.9,-0.923169,-46044.0,5,370,44.5,-0.600255,-8005.0,1,168,39.2,-1.0,-3920.0,0,100,False
9,1966,2981,2982,3287,3288,3389,V7_edge0pct_max2signs_maxrows100,0.0,2,100,,49.6,-0.955584,-47418.0,3,470,42.4,-0.581291,-7401.0,1,268,46.9,1.859915,8723.0,2,52,True
10,2066,3082,3083,3389,3390,3489,V7_edge1pct_max2signs_maxrows50,0.01,2,50,,14.3,-0.993624,-14182.0,2,636,11.3,2.679918,9101.0,1,252,14.6,-1.0,-1459.0,0,100,False
11,2166,3186,3187,3489,3490,3592,V7_edge0pct_max3signs_maxrows100,0.0,3,100,,48.9,-0.845979,-41387.0,4,501,46.3,5.110543,70965.0,4,152,41.8,-1.0,-4180.0,0,100,False
12,2266,3287,3288,3592,3593,3692,V7_edge0pct_max3signs_maxrows100,0.0,3,100,,48.0,-0.844833,-40530.0,3,501,46.3,5.107025,70957.0,4,187,43.7,9.291076,40602.0,1,89,True
13,2369,3389,3390,3692,3693,3793,V7_edge0pct_max3signs_maxrows20,0.0,3,20,,15.2,-0.039826,-606.0,2,822,15.0,8.989338,40470.0,1,289,15.5,-1.0,-1552.0,0,100,False
14,2470,3489,3490,3793,3794,3897,V7_edge0pct_max2signs_maxrows20,0.0,2,20,,15.4,-0.048828,-750.0,2,822,15.0,9.007121,40478.0,1,189,15.5,-1.0,-1552.0,0,100,False
15,2572,3592,3593,3897,3898,3998,V7_edge0pct_max3signs_maxrows20,0.0,3,20,,15.1,-0.174789,-2647.0,1,752,15.3,8.78929,40378.0,1,210,15.5,-1.0,-1552.0,0,100,False
16,2675,3692,3693,3998,3999,4098,V7_edge0pct_max3signs_maxrows20,0.0,3,20,,15.1,2.810436,42387.0,2,652,15.5,-1.0,-4640.0,0,300,15.1,-1.0,-1509.0,0,100,False
